Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Spent,Age,Seniority,Partner,Num_Childer,Num_Childen,Num_Children,Family_Size,Is_Parent
Postgraduate,50943.0,0,1,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,46,58,533,Partner,1,1,1,3,1
Graduate,53653.0,0,0,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,1210,61,878,Alone,0,0,0,1,0
Graduate,65665.0,0,1,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,0,945,38,662,Partner,1,1,1,3,1
Graduate,81217.0,0,0,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0,1157,25,505,Alone,0,0,0,1,0
Graduate,34935.0,0,0,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,0,137,22,533,Partner,0,0,0,2,0
Graduate,61250.0,0,1,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,0,730,55,720,Alone,1,1,1,2,1
Postgraduate,39665.0,1,0,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,0,216,33,560,Partner,1,1,1,3,1
Graduate,60152.0,0,1,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,943,35,618,Alone,1,1,1,2,1
Graduate,48920.0,0,2,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,0,347,50,412,Partner,2,2,2,4,1
Postgraduate,89120.0,0,0,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,1924,55,264,Partner,0,0,0,2,0
Postgraduate,44124.0,0,1,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,397,68,396,Partner,1,1,1,3,1
Postgraduate,81169.0,0,0,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,2089,39,601,Alone,0,0,0,1,0
Graduate,36443.0,1,1,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,138,53,644,Partner,2,2,2,4,1
Graduate,26095.0,1,0,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,0,42,24,524,Alone,1,1,1,2,1
Graduate,71367.0,0,0,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,777,55,470,Partner,0,0,0,2,0
Postgraduate,80184.0,0,0,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,1902,70,337,Partner,0,0,0,2,0
Graduate,30630.0,1,1,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,52,49,313,Alone,2,2,2,3,1
Postgraduate,73454.0,0,0,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,0,1651,27,337,Alone,0,0,0,1,0
Graduate,42691.0,0,0,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,0,358,23,477,Partner,0,0,0,2,0
Graduate,70503.0,0,0,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,0,1727,61,797,Partner,0,0,0,2,0
Graduate,25545.0,1,0,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,210,27,849,Partner,1,1,1,3,1
Graduate,32880.0,1,0,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,42,28,968,Partner,1,1,1,3,1
Postgraduate,77863.0,0,0,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,1291,56,374,Partner,0,0,0,2,0
Postgraduate,50353.0,0,0,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,442,37,122,Partner,0,0,0,2,0
Graduate,61839.0,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,1895,50,728,Alone,0,0,0,1,0
Postgraduate,49154.0,1,1,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,411,54,635,Partner,2,2,2,4,1
Undergraduate,47682.0,0,1,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,521,39,659,Alone,1,1,1,2,1
Graduate,72679.0,0,1,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,1168,45,444,Alone,1,1,1,2,1
Postgraduate,57954.0,1,1,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,493,37,171,Partner,2,2,2,4,1
Graduate,65316.0,1,1,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,260,52,591,Partner,2,2,2,4,1
Graduate,28567.0,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,46,32,537,Alone,1,1,1,2,1
Postgraduate,47352.0,0,1,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,319,63,397,Partner,1,1,1,3,1
Graduate,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,96,47,322,Partner,1,1,1,3,1
Graduate,76982.0,0,0,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,1062,47,294,Alone,0,0,0,1,0
Undergraduate,57247.0,0,1,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,232,62,485,Partner,1,1,1,3,1
Postgraduate,22944.0,1,0,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,76,33,348,Alone,1,1,1,2,1
Undergraduate,25315.0,1,0,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,54,37,513,Partner,1,1,1,3,1
Graduate,43638.0,0,1,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,201,45,911,Alone,1,1,1,2,1
Postgraduate,42710.0,1,0,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,406,30,738,Alone,1,1,1,2,1
Postgraduate,84169.0,0,0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,1919,32,516,Partner,0,0,0,2,0
Graduate,54058.0,0,1,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,662,38,609,Partner,1,1,1,3,1
Undergraduate,24683.0,1,0,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,41,24,125,Partner,1,1,1,3,1
Graduate,85620.0,0,0,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,1600,50,158,Alone,0,0,0,1,0
Graduate,47850.0,1,0,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,134,34,634,Partner,1,1,1,3,1
Graduate,19514.0,1,1,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,69,46,314,Partner,2,2,2,4,1
Postgraduate,27159.0,1,1,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,21,41,252,Partner,2,2,2,4,1
Undergraduate,39548.0,1,1,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,54,51,250,Alone,2,2,2,3,1
Graduate,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,91,25,124,Alone,1,1,1,2,1
Postgraduate,60504.0,0,1,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,526,43,157,Alone,1,1,1,2,1
Graduate,22419.0,0,0,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,162,51,597,Partner,0,0,0,2,0
Postgraduate,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,1008,65,543,Partner,0,0,0,2,0
Graduate,43462.0,1,1,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,240,62,727,Partner,2,2,2,4,1
Postgraduate,54880.0,1,0,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,795,36,702,Alone,1,1,1,2,1
Graduate,79908.0,0,0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,1772,32,581,Partner,0,0,0,2,0
Undergraduate,15315.0,0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,64,44,638,Partner,0,0,0,2,0
Graduate,87771.0,0,1,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,1957,55,563,Partner,1,1,1,3,1
Graduate,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,78,36,453,Partner,1,1,1,3,1
Graduate,81741.0,0,0,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,1572,34,538,Alone,0,0,0,1,0
Postgraduate,71499.0,0,1,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,795,43,529,Partner,1,1,1,3,1
Undergraduate,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,889,44,325,Partner,1,1,1,3,1
Postgraduate,48799.0,0,1,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,331,51,574,Alone,1,1,1,2,1
Postgraduate,52157.0,0,1,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,265,64,153,Partner,1,1,1,3,1
Graduate,66565.0,0,1,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,1065,52,938,Alone,1,1,1,2,1
Postgraduate,29298.0,1,1,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,11,63,515,Partner,2,2,2,4,1
Graduate,47691.0,0,1,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,21,35,578,Alone,1,1,1,2,1
Graduate,38200.0,1,1,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,17,44,877,Partner,2,2,2,4,1
Graduate,44989.0,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,369,40,727,Partner,1,1,1,3,1
Postgraduate,38443.0,1,1,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,38,46,313,Partner,2,2,2,4,1
Undergraduate,38593.0,1,0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,177,36,449,Alone,1,1,1,2,1
Postgraduate,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,279,44,697,Partner,1,1,1,3,1
Postgraduate,36959.0,1,0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,62,33,664,Partner,1,1,1,3,1
Postgraduate,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,1230,37,674,Partner,1,1,1,3,1
Graduate,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,182,46,336,Partner,2,2,2,4,1
Graduate,13260.0,1,1,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,49,44,470,Partner,2,2,2,4,1
Postgraduate,47472.0,1,1,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,75,48,446,Partner,2,2,2,4,1
Postgraduate,54603.0,1,1,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,227,58,455,Partner,2,2,2,4,1
Postgraduate,45207.0,1,1,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,215,40,786,Partner,2,2,2,4,1
Graduate,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,444,63,628,Partner,1,1,1,3,1
Undergraduate,47821.0,1,1,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,47,47,412,Partner,2,2,2,4,1
Postgraduate,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,143,63,600,Partner,0,0,0,2,0
Graduate,39453.0,1,0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,55,31,277,Partner,1,1,1,3,1
Undergraduate,26850.0,1,1,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,63,43,232,Partner,2,2,2,4,1
Graduate,79800.0,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,1867,59,804,Alone,0,0,0,1,0
Postgraduate,61794.0,0,1,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,611,53,448,Partner,1,1,1,3,1
Graduate,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,473,59,203,Partner,1,1,1,3,1
Graduate,24221.0,0,0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,55,55,473,Partner,0,0,0,2,0
Postgraduate,39684.0,1,0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,81,30,726,Alone,1,1,1,2,1
Postgraduate,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,2086,39,724,Partner,0,0,0,2,0
Postgraduate,69882.0,0,0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,1478,49,421,Alone,0,0,0,1,0
Graduate,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,49,37,310,Partner,1,1,1,3,1
Postgraduate,59973.0,0,0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,382,42,392,Partner,0,0,0,2,0
Postgraduate,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,69,39,443,Partner,1,1,1,3,1
Graduate,23910.0,1,0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,67,45,771,Alone,1,1,1,2,1
Postgraduate,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,30,45,413,Partner,2,2,2,4,1
Undergraduate,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,63,36,609,Partner,1,1,1,3,1
Graduate,31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,79,33,841,Partner,1,1,1,3,1
Graduate,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,42,53,653,Alone,1,1,1,2,1
Graduate,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,819,54,827,Partner,1,1,1,3,1
Graduate,72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,1151,59,445,Alone,0,0,0,1,0
Postgraduate,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,594,66,815,Partner,2,2,2,4,1
Postgraduate,49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,129,48,679,Partner,2,2,2,4,1
Postgraduate,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,213,28,707,Alone,1,1,1,2,1
Graduate,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,67,41,34,Alone,1,1,1,2,1
Graduate,26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,28,58,398,Alone,3,3,3,4,1
Undergraduate,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,45,39,771,Partner,1,1,1,3,1
Graduate,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,1193,49,154,Partner,0,0,0,2,0
Postgraduate,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,268,45,474,Alone,0,0,0,1,0
Postgraduate,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,266,70,506,Alone,0,0,0,1,0
Undergraduate,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,37,41,754,Partner,1,1,1,3,1
Graduate,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,37,47,404,Partner,3,3,3,5,1
Postgraduate,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,882,45,816,Alone,0,0,0,1,0
Graduate,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,373,40,498,Partner,2,2,2,4,1
Postgraduate,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,35,49,549,Alone,3,3,3,4,1
Postgraduate,162397.0,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,107,38,640,Partner,2,2,2,4,1
Graduate,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,42,36,628,Alone,2,2,2,3,1
Postgraduate,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,326,54,841,Partner,1,1,1,3,1
Postgraduate,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,404,53,394,Partner,1,1,1,3,1
Graduate,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,95,43,510,Alone,0,0,0,1,0
Graduate,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,939,65,64,Alone,0,0,0,1,0
Undergraduate,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,33,36,343,Alone,1,1,1,2,1
Undergraduate,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,981,59,640,Partner,0,0,0,2,0
Graduate,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,36,38,685,Partner,1,1,1,3,1
Graduate,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,1237,39,640,Alone,1,1,1,2,1
Graduate,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,1825,54,806,Partner,1,1,1,3,1
Postgraduate,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,103,37,910,Alone,2,2,2,3,1
Graduate,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,191,37,718,Alone,1,1,1,2,1
Postgraduate,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,1586,44,382,Partner,1,1,1,3,1
Postgraduate,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,963,56,176,Partner,0,0,0,2,0
Undergraduate,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,889,44,325,Partner,1,1,1,3,1
Undergraduate,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,93,54,294,Alone,0,0,0,1,0
Graduate,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,1587,41,597,Alone,0,0,0,1,0
Graduate,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,16,52,64,Alone,3,3,3,4,1
Graduate,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,1375,62,609,Alone,0,0,0,1,0
Graduate,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,393,52,492,Partner,1,1,1,3,1
Postgraduate,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,1477,64,799,Alone,1,1,1,2,1
Graduate,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,1179,43,543,Partner,1,1,1,3,1
Graduate,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,1005,54,940,Partner,1,1,1,3,1
Postgraduate,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,1348,66,207,Partner,0,0,0,2,0
Postgraduate,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,1307,55,706,Alone,1,1,1,2,1
Graduate,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,486,50,519,Alone,1,1,1,2,1
Postgraduate,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,2252,67,429,Partner,0,0,0,2,0
Postgraduate,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,235,43,475,Partner,2,2,2,4,1
Graduate,105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,1724,44,684,Partner,0,0,0,2,0
Postgraduate,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,235,44,358,Alone,1,1,1,2,1
Postgraduate,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,1092,37,197,Partner,1,1,1,3,1
Graduate,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,599,56,446,Partner,1,1,1,3,1
Postgraduate,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,2008,54,292,Alone,0,0,0,1,0
Graduate,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,48,29,831,Partner,1,1,1,3,1
Graduate,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,1174,40,728,Partner,1,1,1,3,1
Postgraduate,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,67,64,237,Partner,1,1,1,3,1
Graduate,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,365,59,1003,Alone,1,1,1,2,1
Graduate,153924.0,0,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,39,157,Alone,0,0,0,1,0
Graduate,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,165,61,249,Partner,1,1,1,3,1
Undergraduate,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,210,56,805,Partner,0,0,0,2,0
Postgraduate,73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,1095,67,462,Partner,1,1,1,3,1
Postgraduate,46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,223,48,411,Alone,3,3,3,4,1
Graduate,56253.0,0,1,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,597,51,877,Partner,1,1,1,3,1
Graduate,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,22,29,387,Partner,1,1,1,3,1
Graduate,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,1064,39,346,Alone,1,1,1,2,1
Undergraduate,25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,74,34,880,Partner,0,0,0,2,0
Postgraduate,14661.0,0,0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,26,58,704,Partner,0,0,0,2,0
Graduate,18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,60,55,708,Partner,0,0,0,2,0
Postgraduate,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,20,40,569,Partner,1,1,1,3,1
Undergraduate,21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,59,27,437,Alone,1,1,1,2,1
Postgraduate,29187.0,1,0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,34,46,457,Partner,1,1,1,3,1
Undergraduate,54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,198,43,513,Partner,2,2,2,4,1
Postgraduate,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,1048,50,495,Partner,1,1,1,3,1
Postgraduate,59247.0,0,2,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,574,52,482,Alone,2,2,2,3,1
Graduate,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,1029,44,727,Alone,1,1,1,2,1
Graduate,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,670,34,355,Partner,1,1,1,3,1
Postgraduate,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,990,39,1059,Alone,1,1,1,2,1
Graduate,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,11,40,198,Partner,2,2,2,4,1
Postgraduate,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,1241,51,767,Partner,1,1,1,3,1
Graduate,70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,576,35,308,Alone,0,0,0,1,0
Undergraduate,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,172,29,538,Partner,1,1,1,3,1
Postgraduate,65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,664,34,348,Alone,0,0,0,1,0
Graduate,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,928,51,414,Alone,1,1,1,2,1
Graduate,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,2074,47,828,Alone,0,0,0,1,0
Undergraduate,41039.0,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,467,32,499,Partner,0,0,0,2,0
Graduate,38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,257,59,408,Partner,1,1,1,3,1
Graduate,65777.0,0,0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,1146,47,352,Partner,0,0,0,2,0
Postgraduate,66476.0,0,1,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,689,38,521,Alone,1,1,1,2,1
Postgraduate,86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,2114,42,727,Alone,0,0,0,1,0
Postgraduate,160803.0,0,0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,1717,32,972,Partner,0,0,0,2,0
Postgraduate,77845.0,0,0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,1346,25,204,Partner,0,0,0,2,0
Postgraduate,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,1044,45,432,Partner,0,0,0,2,0
Postgraduate,50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,493,54,970,Alone,1,1,1,2,1
